LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,SEPT_STATUS,AUGUST_STATUS,JULY_STATUS,JUNE_STATUS,MAY_STATUS,APRILL_STATUS,SEPT_BILL,AUGUST_BILL,JULY_BILL,JUNE_BILL,MAY_BILL,APRIL_BILL,SEPT_PAID,AUGUST_PAID,JULY_PAID,JUNE_PAID,MAY_PAID,APRIL_PAID,DEFAULTED
10000,1,1,2,21,9,9,7,9,9,9,4797,6457,6154,6154,6280,0,2400,0,0,126,0,0,0
10000,1,1,2,22,9,9,9,9,9,9,9363,5062,6021,6763,7648,8367,1200,1200,1000,1000,1000,0,0
10000,1,1,2,22,9,9,9,9,9,9,5757,6706,7715,7873,8742,9551,1200,1128,286,1000,955,0,0
10000,1,1,2,22,9,9,9,9,9,9,9240,9131,9601,9797,9997,7497,1230,1000,196,200,0,0,0
10000,1,1,2,22,9,9,9,9,9,9,18289,9217,10203,9634,9857,9704,1317,1303,334,373,326,1359,0
10000,1,1,2,22,8,5,6,7,7,7,8357,8085,7817,7545,8268,7993,0,0,0,1000,0,750,1
10000,1,1,2,22,8,10,9,9,9,9,0,7492,8589,9365,7740,1000,7492,1224,1000,175,0,0,0
10000,1,1,1,22,9,9,9,9,9,9,9473,9661,9001,9768,9233,9154,1288,1400,1200,300,800,500,1
20000,1,1,2,22,9,9,9,11,11,11,19624,16972,0,0,0,0,1000,0,0,0,0,0,1
20000,1,1,2,22,9,9,9,9,9,9,11242,11070,11788,9607,9191,0,1282,1000,192,184,0,0,0
20000,1,1,2,22,9,9,9,9,9,9,18535,18541,18270,16992,19025,35744,5109,1600,2400,3800,739,2000,1
20000,1,1,2,22,11,11,10,10,7,7,20732,19981,431,20786,20355,18752,2,431,20355,0,2732,7189,1
20000,1,1,2,22,8,7,9,9,9,9,18977,18374,18458,18852,19546,21165,0,1680,1000,1000,2100,0,0
20000,1,1,2,22,9,9,9,9,9,7,18306,18977,19328,19035,19262,12308,1287,1462,1522,1165,0,1000,0
20000,1,1,2,22,8,5,6,7,9,9,21425,21410,20786,19994,10700,0,620,0,4,0,0,0,1
30000,1,1,2,22,7,9,9,9,9,9,28328,29505,25362,19493,5765,0,1704,1250,390,115,0,0,0
50000,1,1,2,22,9,9,9,9,9,9,42678,38239,22691,8807,7143,6967,1500,1100,1000,500,500,1000,1
50000,1,1,2,22,8,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,1,1,2,22,9,9,10,9,9,9,48423,44450,956,976,1976,2939,2150,956,20,1000,1000,1000,1
50000,1,1,2,22,9,9,9,9,10,10,6673,5054,2340,1990,1377,1080,1056,1000,40,1377,1080,382,1
50000,1,1,3,22,9,9,9,9,9,9,46450,47599,48456,44546,43256,13342,2200,2016,2009,2092,1020,1018,0
50000,1,1,2,22,9,9,9,9,9,9,45803,46696,15287,7694,7921,8041,2400,1123,500,500,400,500,0
50000,1,1,3,22,9,9,9,9,9,9,45458,46450,47599,48456,44546,43256,2051,2200,2016,2009,2092,1020,1
50000,1,1,2,22,7,9,9,10,9,9,47021,48423,44450,956,976,1976,2543,2150,956,20,1000,1000,1
10000,1,1,2,23,9,9,9,9,9,7,6974,7838,9002,9182,9729,9411,1134,1298,478,847,0,175,0
10000,1,1,2,23,9,9,9,9,9,9,6001,4308,3421,3615,4402,5173,2000,1500,400,1000,1000,500,0
10000,1,1,2,23,9,9,9,9,9,9,5807,6974,7838,9002,9182,9729,1270,1134,1298,478,847,0,0
10000,1,1,2,23,9,9,9,9,9,9,7787,8412,9450,9414,5354,5275,1299,1337,1081,191,375,0,0
10000,1,1,2,23,9,9,9,9,9,9,8604,8594,9259,9733,9528,9513,1600,1351,1215,400,200,166,0
20000,1,1,3,23,10,10,9,9,9,9,3675,19316,19844,19844,20388,19554,19316,1261,651,803,747,155,1
20000,1,1,2,23,9,9,9,9,9,9,10103,11139,12106,12349,11420,11641,1205,1172,415,404,400,400,0
20000,1,1,2,23,10,7,10,10,10,10,780,390,380,390,0,780,0,380,400,0,780,0,0
20000,1,1,2,23,8,7,7,6,7,7,9126,8835,11088,10618,10304,11232,0,2400,0,0,1100,0,1
20000,1,1,2,23,9,9,9,9,9,9,17030,18064,19046,19221,18603,19075,1315,1297,672,675,781,734,0
20000,1,1,2,23,7,7,7,7,6,7,15034,17676,17100,19111,18525,18080,3200,0,2600,0,0,1700,1
20000,1,1,2,23,8,7,9,9,9,6,14034,13524,14983,16197,18932,18271,0,2000,1780,3000,0,0,1
20000,1,1,2,23,9,9,10,9,9,9,17010,-820,19970,19580,20180,20000,0,21490,600,600,600,0,0
20000,1,1,2,23,9,9,9,10,10,10,2331,3544,3064,1587,-193,3107,2700,2300,2100,0,5000,0,1
20000,1,1,2,23,10,9,9,9,9,9,9525,16977,18546,18846,18066,17463,8000,2000,900,0,1000,0,0
20000,1,1,2,23,10,10,10,9,9,9,1706,6354,6849,4113,3910,2547,6394,6849,82,78,51,16522,0
20000,1,1,2,23,9,9,9,9,9,9,8038,9060,11600,12307,12703,12970,1161,2701,1204,600,620,622,1
20000,1,1,2,23,8,7,10,10,9,9,19901,19105,572,19206,18595,19135,0,572,20502,1000,840,705,0
20000,1,1,2,23,9,9,9,9,9,9,19812,20388,19145,20124,20127,20150,1300,1330,1309,702,719,1000,0
20000,1,1,1,23,9,9,9,9,9,9,18455,19990,20215,19298,19807,12294,2000,20000,1612,1121,702,1000,0
20000,1,1,2,23,7,9,9,9,9,11,18337,19317,19645,19935,0,0,1602,1710,1000,0,0,0,1
30000,1,1,2,23,7,7,7,7,7,7,10732,20501,20831,21231,20589,31018,10000,1000,1000,0,13000,0,0
30000,1,1,2,23,7,9,9,9,9,9,29144,30419,30097,25887,25707,0,2033,1420,0,92,0,0,1
30000,1,1,2,23,8,7,9,9,9,9,30391,29144,30419,30097,25887,25707,0,2033,1420,0,92,0,0
30000,1,1,2,23,9,9,11,10,9,9,4443,370,380,590,7704,20204,430,400,601,7504,15005,5674,0
40000,1,1,2,23,9,9,9,9,9,11,15045,15899,16700,17500,0,0,1400,1200,1000,0,0,0,0
50000,1,1,2,23,9,9,9,9,9,9,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0
50000,1,1,2,23,7,7,7,9,9,9,44470,51192,48506,18524,19239,19283,7800,173,1000,1000,1000,1000,0
50000,1,1,2,23,9,9,9,9,9,9,47033,43512,32287,34156,14618,3648,1707,1318,496,1076,708,20027,0
50000,1,1,2,23,8,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,1,1,2,23,9,9,9,10,10,10,7965,8404,10240,170,-220,390,1500,2000,170,0,1000,3309,0
50000,1,1,3,23,9,9,9,11,11,11,13352,14111,0,0,0,0,1066,0,0,0,0,1000,0
50000,1,1,2,23,7,9,9,9,9,9,11744,10935,11664,10872,9392,9456,1507,1500,300,500,500,118,1
50000,1,1,2,23,9,9,10,10,10,10,42821,6609,1600,5087,4270,7881,1008,1600,5087,4270,7881,1000,0
50000,1,1,2,23,9,9,9,9,9,9,47104,25555,16097,16337,16330,16708,2000,1500,800,700,650,700,0
50000,1,1,2,23,10,10,7,9,9,11,1789,4249,4038,5275,0,0,2500,0,1500,0,0,0,1
50000,1,1,3,23,9,9,9,9,9,9,43087,44468,46653,43143,19003,-317,2100,3260,1200,1000,0,16628,1
50000,1,1,2,23,9,9,11,11,11,11,4332,0,0,0,0,0,0,0,0,0,0,0,0
50000,1,1,2,23,9,9,9,9,9,9,9168,10178,11200,12214,12608,12718,1166,1188,1202,596,461,462,0
60000,1,1,2,23,9,9,9,9,9,9,15592,16643,15557,15526,16273,17001,2000,1400,1000,1000,1000,1000,0
80000,1,1,2,23,10,7,10,10,10,11,1053,193,9387,125,-68,-261,0,9387,125,0,0,0,0
90000,1,1,2,23,6,7,9,9,9,9,92154,87700,61110,14223,9784,5155,0,2200,1000,477,103,0,1
10000,1,1,2,24,8,7,7,7,7,7,7826,8745,8440,9229,8969,8819,1200,0,900,0,2000,0,0
10000,1,1,2,24,9,9,9,9,9,9,4050,5426,6743,8544,9858,1303,2000,2000,2000,2000,1000,0,0
10000,1,1,2,24,10,10,10,9,9,9,6217,5082,5400,5012,1740,390,5112,5400,2,4,0,5039,0
10000,1,1,2,24,10,10,9,9,9,9,273,8327,9379,9566,9766,10042,8327,1200,342,354,438,200,0
10000,1,1,2,24,8,6,7,6,7,9,5530,5792,6050,5808,5569,5876,500,500,0,0,400,364,1
10000,1,1,2,24,8,10,9,10,9,9,-372,4253,1777,780,780,0,5253,1500,780,0,0,0,0
10000,1,1,2,24,9,10,10,9,9,9,9285,273,8327,9379,9566,9766,273,8327,1200,342,354,438,0
10000,1,1,2,24,9,9,9,9,9,9,2736,4050,5426,6743,8544,9858,3000,2000,2000,2000,2000,1000,0
20000,1,1,2,24,9,9,9,9,9,7,12188,12904,14217,14360,16140,16287,1220,1533,676,2177,559,0,1
20000,1,1,2,24,8,7,9,9,9,9,17231,15897,16232,16555,16104,16055,0,1300,573,576,600,1900,0
20000,1,1,2,24,9,9,9,9,9,9,9249,10439,11448,11561,12221,12865,1500,1487,600,1000,1000,1000,1
20000,1,1,2,24,10,10,10,9,9,9,1473,390,8595,7454,7208,0,390,8595,149,144,0,780,0
20000,1,1,2,24,9,9,9,9,10,10,17895,19598,19701,3486,199,0,2000,1000,400,199,0,0,0
20000,1,1,2,24,8,10,9,9,9,7,0,5536,18884,18059,18163,16990,5536,14000,137,500,0,0,0
20000,1,1,2,24,9,9,9,9,7,7,13470,14748,15761,17497,17075,19777,1500,1264,2000,0,3000,0,1
20000,1,1,2,24,9,9,9,9,9,11,14628,16391,18045,18055,0,0,3000,2000,1000,0,0,0,0
20000,1,1,2,24,8,11,11,11,11,11,-1400,-1400,-1400,-1000,-1000,0,0,0,1000,0,1000,0,0
20000,1,1,2,24,6,6,7,7,7,7,15846,16283,17325,17542,17756,18023,1000,1600,800,800,700,800,1
20000,1,1,2,24,9,9,9,9,9,9,16973,17984,18748,19627,19624,19652,1600,1357,1236,623,653,673,0
20000,1,1,2,24,9,9,9,9,9,10,18661,17895,19598,19701,3486,199,1400,2000,1000,400,199,0,0
20000,1,1,2,24,7,9,9,9,9,9,11179,12188,12904,14217,14360,16140,1504,1220,1533,676,2177,559,1
20000,1,1,2,24,9,9,9,9,9,9,15570,16996,18414,19843,19643,3300,2000,2000,2200,0,100,0,0
20000,1,1,2,24,4,5,6,7,7,11,21151,20537,19933,19167,18767,18767,0,0,0,0,0,0,0
20000,1,1,2,24,9,9,9,9,9,9,3724,5646,6808,14046,13924,16924,2000,1262,7500,278,3000,0,0
20000,1,1,2,24,8,6,7,9,9,6,14665,14146,13634,14401,16257,15713,0,0,1300,2101,0,0,1
20000,1,1,2,24,10,7,10,10,10,10,546,48,498,449,1651,1114,0,948,449,1700,1114,0,0
20000,1,1,2,24,5,6,7,9,9,9,20569,19927,16371,17291,18001,18706,0,0,1500,1000,1000,836,1
20000,1,1,2,24,7,9,9,7,7,7,8295,9310,12130,11644,12250,11910,1160,2980,0,1100,0,1000,1
20000,1,1,2,24,8,7,9,9,9,9,20464,19322,19004,19558,19176,19441,4,1640,1589,1000,1001,1004,0
20000,1,1,2,24,9,9,9,9,9,9,19438,16944,17990,19671,19244,19443,1273,1319,2000,674,693,693,0
30000,1,1,2,24,7,7,7,9,9,11,28470,31407,30200,30000,0,0,3407,0,0,0,0,0,0
40000,1,1,2,24,7,9,9,9,9,9,39149,39189,40543,38922,39901,40746,1658,2012,1392,1605,1668,1201,1
50000,1,1,2,24,10,10,10,10,9,9,2562,8743,-290,18115,18495,18804,8769,0,18650,659,1000,1000,0
50000,1,1,2,24,10,9,9,10,10,11,25437,25873,0,100,0,0,2000,0,100,0,0,0,1
50000,1,1,2,24,9,9,9,9,10,10,7198,8421,9202,9800,1000,0,1500,1000,598,1000,0,0,1
50000,1,1,2,24,5,6,7,7,7,9,27226,26508,26976,27206,26631,27185,0,1200,968,0,998,1479,1
50000,1,1,3,24,9,9,9,9,9,9,48497,49564,19207,18963,19741,19901,2089,1580,1000,1000,1500,1500,1
50000,1,1,3,24,8,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,1,1,2,24,9,9,9,9,9,9,40751,30786,30285,14225,12668,10880,1627,3053,2005,550,400,1000,0
50000,1,1,3,24,9,9,7,9,9,9,29341,27139,13295,14126,12185,8419,1806,1000,1112,366,503,500,0
50000,1,1,2,24,8,7,7,9,9,9,52354,52651,51056,49515,42189,19938,2211,0,2174,2000,6473,0,1
50000,1,1,2,24,8,7,9,9,10,10,50645,48259,45079,30783,1727,150,0,2177,1702,2000,350,0,0
60000,1,1,2,24,9,9,9,9,7,9,58819,59810,56566,30627,30203,28648,3000,1768,3954,1000,1500,1200,0
60000,1,1,2,24,10,9,9,9,9,9,15527,16882,18190,27465,27643,27816,2000,2000,10000,991,1010,989,0
60000,1,1,2,24,9,9,9,9,9,10,33270,16636,17321,17421,18421,891,1715,1400,500,1000,900,19000,0
60000,1,1,2,24,9,9,9,9,9,9,17054,16963,17298,17889,17847,17827,1600,1300,1277,625,644,639,0
80000,1,1,2,24,8,10,10,10,10,10,0,832,416,416,416,416,1248,416,416,416,416,416,0
100000,1,1,2,24,8,7,9,9,9,9,100364,97551,66365,62913,9389,6076,107,2893,2104,312,207,2004,0
10000,1,1,2,25,7,9,9,9,9,11,4693,5371,6327,6055,0,0,1300,1600,400,0,0,0,1
10000,1,1,2,25,10,10,10,10,10,10,3161,390,390,390,0,1280,390,390,390,0,1280,6380,0
10000,1,1,2,25,9,9,9,9,9,9,6892,7915,10086,18714,9781,9979,1294,2465,500,1000,500,0,0
10000,1,1,2,25,9,9,9,9,9,10,8525,5141,5239,7911,17890,10000,1500,5000,4000,2000,22400,0,0
10000,1,1,2,25,8,7,7,7,9,9,9737,9947,9802,8450,4060,0,1352,1000,0,1000,900,0,1
20000,1,1,2,25,7,7,5,5,5,5,1650,1650,1650,1650,1650,1650,0,0,0,0,0,0,1
20000,1,1,2,25,9,9,9,9,9,9,13701,14413,15781,15939,16271,16590,1241,1609,717,738,740,789,0
20000,1,1,3,25,9,9,9,9,9,9,15706,16849,17285,18683,9121,14374,1700,1110,1500,500,300,150,0
20000,1,1,2,25,9,9,10,10,10,10,3556,3271,798,798,798,408,1481,798,798,798,408,1188,0
20000,1,1,2,25,9,9,7,6,7,7,9248,11859,14264,13746,13228,14333,3100,2900,0,0,1325,670,0
20000,1,1,2,25,6,7,7,5,5,5,1650,1650,1650,1650,1650,1650,0,0,0,0,0,0,1
30000,1,1,2,25,7,7,7,9,9,7,22440,24168,23481,23950,25659,25098,2390,0,859,2097,0,1092,1
30000,1,1,2,25,11,11,11,11,11,11,780,0,390,749,390,0,0,390,749,390,0,805,1
30000,1,1,2,25,9,9,9,9,9,11,10198,28773,18031,13127,0,0,18808,1200,263,0,0,0,0
30000,1,1,2,25,9,9,9,9,9,7,22821,23846,24864,25360,26999,26414,1397,1415,911,2051,0,1500,0
30000,1,1,2,25,7,9,9,9,9,7,23421,24228,25331,26347,27508,30118,1500,1500,1439,1600,3200,0,1
30000,1,1,2,25,9,9,9,9,9,9,23075,23996,25407,27312,8810,6355,2000,2500,3000,178,1000,0,0
30000,1,1,2,25,9,9,11,11,11,11,1211,-50,-440,-830,-1220,-1220,0,0,0,0,0,2000,0
50000,1,1,2,25,10,9,9,9,9,9,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0
50000,1,1,2,25,8,7,7,9,9,7,43685,44694,43673,44659,49512,48454,2000,0,2000,6000,300,3000,0
50000,1,1,2,25,9,9,9,9,7,7,46277,47713,44006,29737,30615,29975,2500,2300,2500,1500,0,1000,0
50000,1,1,2,25,9,9,9,9,9,9,45943,45922,34514,23610,21760,6398,1818,1400,472,435,128,25518,0
50000,1,1,2,25,9,9,9,9,9,9,35227,36236,21068,18132,18405,16754,2011,2000,2000,1000,1000,1000,0
50000,1,1,2,25,9,9,9,9,7,7,47727,45926,47095,49485,49083,45187,2100,2200,3500,2000,0,5151,0
50000,1,1,2,25,9,9,7,7,9,9,39686,43685,44694,43673,44659,49512,5000,2000,0,2000,6000,300,0
50000,1,1,2,25,9,9,9,9,9,9,50184,50664,50633,48724,19208,19917,2000,1925,5006,2000,1016,725,0
60000,1,1,2,25,9,9,9,9,9,9,59817,47872,38605,28184,28862,29161,3000,2000,1500,1500,1300,2000,0
60000,1,1,2,25,9,9,9,9,9,9,57530,59869,59942,28934,27461,28504,3869,2742,1200,1461,1504,1683,0
60000,1,1,2,25,9,9,9,9,9,9,56753,57530,59869,59942,28934,27461,2700,3869,2742,1200,1461,1504,0
70000,1,1,2,25,8,7,9,9,9,9,69447,67209,56580,24991,16036,16667,0,4000,1500,3000,2500,5000,1
80000,1,1,2,25,9,9,9,9,9,9,80493,78736,71663,57571,58485,59655,3035,3021,2300,2500,2300,2500,0
80000,1,1,2,25,9,9,9,10,9,9,78230,76277,36232,30200,30326,30290,2289,1005,31063,1094,1109,1013,0
90000,1,1,2,25,9,9,9,9,11,11,6822,6995,7884,0,0,0,1172,1061,0,0,0,193,1
90000,1,1,2,25,8,6,7,7,7,7,25179,24496,23325,24336,24817,25338,0,0,1405,886,919,1104,1
100000,1,1,2,25,7,7,7,9,9,9,96889,102893,99176,80358,75007,76805,8513,128,3011,3000,3200,3400,1
100000,1,1,2,25,9,9,9,9,9,9,76068,69334,54883,55383,36095,31322,2895,2088,1511,1124,1053,1009,0
20000,1,1,2,26,9,9,9,9,9,9,16514,17547,18541,19250,19805,20356,1306,1300,1000,1000,1258,590,0
20000,1,1,2,26,1,2,3,4,5,6,43340,42619,35381,31539,27409,23567,0,0,0,0,0,300,0
20000,1,1,2,26,10,10,10,11,11,11,96,780,0,0,0,0,1560,0,0,0,0,0,0
20000,1,1,3,26,6,7,6,7,9,9,10135,11926,11448,10970,11636,12442,2100,0,0,1000,1000,0,1
20000,1,1,2,26,9,9,11,11,11,11,16320,0,0,0,0,0,0,0,0,0,0,0,0
20000,1,1,2,26,7,9,9,9,9,9,17880,19224,19327,18696,19233,19909,1641,2400,632,800,1000,1500,1
20000,1,1,2,26,7,7,10,10,7,9,20155,10356,556,20897,20438,20325,0,600,20900,1,805,752,0
20000,1,1,2,26,10,6,7,9,9,9,20780,20172,19400,20000,20000,0,0,0,1000,0,0,0,0
20000,1,1,2,26,7,9,9,9,9,9,14081,15835,16985,19985,9421,9764,2000,2000,3000,1000,500,1000,1
20000,1,1,2,26,6,6,7,9,9,9,21667,21081,19661,26158,13560,15324,0,25,2000,1000,2000,1000,1
20000,1,1,2,26,6,7,7,7,7,10,150,150,150,150,150,1150,0,0,0,0,1150,0,1
20000,1,1,3,26,7,6,7,6,7,9,10449,10135,11926,11448,10970,11636,0,2100,0,0,1000,1000,1
30000,1,1,3,26,8,7,9,9,9,9,30814,29551,24034,21155,18413,0,0,1500,1150,900,0,0,1
30000,1,1,2,26,8,10,7,9,10,10,-857,29237,1170,780,10500,0,30484,0,0,10500,0,0,0
30000,1,1,2,26,9,9,7,9,9,9,25535,28738,27999,28097,28670,7770,3641,0,1000,573,1000,0,0
30000,1,1,2,26,7,7,7,7,7,7,14598,13998,15467,14913,17692,16302,2000,2000,0,3009,0,2000,0
30000,1,1,2,26,9,9,9,9,9,9,28337,27203,25791,18972,28051,20782,2000,2000,1600,10000,2140,0,0
50000,1,1,2,26,9,9,9,9,9,9,35429,30626,30241,20284,19166,19567,1537,1947,800,1000,718,683,0
50000,1,1,2,26,9,9,9,9,7,9,25060,26649,28202,30727,30098,32580,2000,2000,3000,0,3000,3000,0
50000,1,1,2,26,7,9,9,9,9,9,50951,49139,46802,47622,48686,47459,2500,2100,1900,2000,1746,1890,1
50000,1,1,2,26,8,7,6,7,9,9,48560,52047,50597,20378,18344,19618,4570,0,0,2000,2000,341,0
50000,1,1,2,26,9,9,9,9,9,10,24132,20109,19932,19762,10708,20148,1902,1200,30,1031,20201,605,0
50000,1,1,2,26,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,1,1,2,26,7,7,7,9,9,9,22578,23720,23046,23314,23801,24354,1800,0,950,862,947,814,0
50000,1,1,2,26,9,9,9,9,9,9,42040,30427,17818,17028,16387,15728,2000,2000,1000,1000,1000,1000,0
50000,1,1,2,26,7,9,9,7,7,7,41827,42650,45930,44891,47654,48721,1800,4000,0,3500,2000,0,1
50000,1,1,2,26,8,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,1,1,3,26,8,7,7,9,9,9,14655,15688,13400,13596,13861,14255,1600,0,2000,2000,2000,2000,1
50000,1,1,2,26,7,9,9,9,9,9,31708,32439,28302,13881,14376,15261,1700,2000,1500,1100,1500,2000,0
50000,1,1,2,26,9,9,9,9,9,9,50316,48987,49299,48103,48669,48507,3000,3000,2200,2000,2000,2300,0
50000,1,1,2,26,9,9,9,9,9,9,50343,24132,20109,19932,19762,10708,1319,1902,1200,30,1031,20201,0
50000,1,1,2,26,9,9,9,11,11,11,50419,40200,0,0,0,0,1000,0,0,0,0,0,1
50000,1,1,2,26,9,9,9,9,9,9,49006,48814,49180,44941,20056,19783,2000,2000,2005,700,856,1000,0
50000,1,1,2,26,7,9,9,9,9,9,49644,94883,42097,32394,16658,17006,2047,5728,1300,1194,617,650,1
50000,1,1,2,26,9,9,9,9,9,9,24003,25597,26237,19296,19127,18997,2000,1425,1598,819,705,819,0
50000,1,1,2,26,9,9,9,9,9,9,50632,49654,49746,50365,35157,19796,1808,2084,1703,975,683,657,0
60000,1,1,2,26,8,7,9,9,9,9,61966,60308,47536,17079,18219,19542,0,5021,5000,2000,2000,1720,0
60000,1,1,2,26,9,9,9,9,9,9,56387,57648,59521,58637,38490,38492,2200,2805,1764,1356,1500,1523,0
70000,1,1,4,26,8,7,7,9,9,9,39073,40154,39214,39861,41063,42918,2000,0,1600,2000,2700,1500,1
70000,1,1,2,26,9,9,7,9,9,9,64494,69272,62196,62809,48047,49110,5916,0,2315,1718,2000,2000,1
80000,1,1,2,26,8,7,7,7,7,7,71661,69947,74755,75732,74397,80138,0,6000,2800,0,7000,8,0
